trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
780,False,"{'a': 0.2, 'e': 0.2199999999999993}",30,7,-34.161956404083796,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
781,False,"{'a': 0.2, 'e': 0.2189999999999993}",20,9,5.297423860599109,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
782,False,"{'a': 0.2, 'e': 0.2179999999999993}",25,0,-28.526615776317456,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
783,False,"{'a': 0.2, 'e': 0.2169999999999993}",20,2,20.53100510373737,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
784,False,"{'a': 0.2, 'e': 0.2159999999999993}",25,2,-41.85350553447597,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
785,False,"{'a': 0.2, 'e': 0.2149999999999993}",20,2,11.781370271010912,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
786,False,"{'a': 0.2, 'e': 0.2139999999999993}",20,4,-3.9341144748653543,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
787,False,"{'a': 0.2, 'e': 0.2129999999999993}",25,10,12.02980049782922,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
788,False,"{'a': 0.2, 'e': 0.2119999999999993}",25,13,12.488759019488775,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.2, 'e': 0.2109999999999993}",20,13,14.033494518401223,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.2, 'e': 0.2099999999999993}",25,16,-7.736988555196969,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
791,False,"{'a': 0.2, 'e': 0.2089999999999993}",20,16,8.908736677978897,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.2, 'e': 0.2079999999999993}",30,22,-7.290642148116972,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
793,False,"{'a': 0.2, 'e': 0.2069999999999993}",25,15,4.573015207219762,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
794,False,"{'a': 0.2, 'e': 0.2059999999999993}",20,3,-88.82278081891046,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
795,False,"{'a': 0.2, 'e': 0.2049999999999993}",35,26,14.75586227393919,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.2, 'e': 0.2039999999999993}",20,16,7.9666833554618846,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.2, 'e': 0.2029999999999993}",25,20,7.630850716587032,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
798,False,"{'a': 0.2, 'e': 0.2019999999999993}",25,6,33.62192326466666,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
799,False,"{'a': 0.2, 'e': 0.2009999999999993}",20,15,3.6336789666123948,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.2, 'e': 0.1999999999999993}",20,0,32.83349176880904,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.2, 'e': 0.1989999999999993}",30,20,19.215397696506585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,False,"{'a': 0.2, 'e': 0.1979999999999993}",30,14,26.318304544430823,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.2, 'e': 0.1969999999999993}",25,5,-13.768573480191327,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
804,False,"{'a': 0.2, 'e': 0.19599999999999929}",35,28,15.606027468523727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.2, 'e': 0.19499999999999929}",25,13,11.27932790345148,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
